TSRW10,MATS5se,nN,AXp-7d,NaasC,Xc-5dv,Xch-5dv,GATS4dv,AXp-4d,AATSC5are,nHBAcc,ATSC5are,ATSC5se,piPC10,AXp-3d,PEOE_VSA5,SlogP_VSA10,GGI4,SlogP_VSA1,SMILES,Lambda max (nm),Solvent,lumo,Bandgap
43.95264911,-0.296001497,3,0.03706565,3,0.048050759,0,1.214966368,0.127196436,-0.054017543,5,-1.35043858,-1.248035222,0,0.195129989,0,17.06215882,0.733333333,5.733667477,NC1=C([N+]([O-])=O)C=C([N+]([O-])=O)C=C1,332,CH2Cl2,-1.76244,4.29851
71.37748749,-0.109787421,0,0.037803745,4,0.027777778,0,1.133665681,0.135377545,-0.007700743,4,-1.55555,-1.16923022,7.249392724,0.209500504,0,0,1.324444444,0,CCCCC(CC)COC(C1=CC=C(/C=C/C2=CC=C(C=C2)C(OCC(CC)CCCC)=O)C=C1)=O,332.1,Hexylene glycol,-2.47421,2.88241
71.37617055,-0.000613019,4,0.040258358,4,0.029462783,0,0.96336057,0.138683299,0.003726856,6,0.562755188,-0.006735372,5.460648778,0.210666935,0,0,1.644444444,20.10730312,N#C/C(C(NCCCCCCNC(/C(C#N)=C/C1=CC=C(C=C1)OC)=O)=O)=C\C2=CC=C(C=C2)OC,332.22,DMF,-2.31484,3.25388
58.64816869,0.224948554,2,0.043813806,1,0.014731391,0.11785113,1.17662825,0.140754898,0.012534462,4,0.45124064,0.730617966,3.548179572,0.21204582,11.33678588,0,0.515,5.316788604,O=C(/C(C#N)=C/C1=CC=CS1)NCCO,332.76,ACN,-0.32701,4.85026
46.18500896,-0.09802231,0,0.032436873,3,0.075343679,0,1.036532925,0.114698923,-0.02007438,4,-0.802975207,-0.574903669,6.216134277,0.182341517,0,0,1.248888889,5.625586319,O=C1OC2=CC(O)=C(O)C=C2C(C)=C1,333,CH2Cl2,-2.35128,2.98857
65.22493964,0.267090415,2,0.043088495,1,0.065762428,0.11785113,1.228926097,0.142043652,0.020292056,4,1.400151852,1.263662563,4.340553386,0.219533784,11.33678588,0,0.675,5.316788604,O=C(/C(C#N)=C/C1=CC=CS1)NCCOC(C(C)=C)=C,333.07,ACN,-1.80638,3.67758
64.69913282,0.098480662,2,0.038366049,4,0.024056261,0,1.088093183,0.134474168,0.021548739,8,1.788545369,0.959611433,5.481680048,0.207876274,0,0,1.564444444,0,OC1=CC=C(/C=C(C#N)\C(OCCOC(/C(C#N)=C/C2=CC=C(O)C=C2)=O)=O)C=C1,334,CH2Cl2,-2.11894,3.46115
62.87192451,0.034997529,2,0.033596591,6,0.048112522,0,0.96612766,0.12431048,0.006418952,4,0.584124587,0.175770215,7.709083992,0.194832144,0,0,1.466666667,0,OC1=CC=C(/C=C(C#N)\C2=CC=C(/C(C#N)=C/C3=CC=C(O)C=C3)C=C2)C=C1,334.5,CH2Cl2,-2.53153,2.50427
47.64353561,-0.366946841,0,0.031039486,2,0.118576539,0,1.154428239,0.114608644,-0.05685378,3,-2.103589876,-1.798619287,5.694258095,0.178090676,0,0,1.328888889,0,O=C1C(OC)=C(C(C2=CC=CC=C21)=O)Cl,335,CH2Cl2,-2.44878,3.41186
43.01723775,-0.013960137,1,0.045417439,1,0.019641855,0,0.886848799,0.140840538,0.00412572,2,0.152651627,-0.026172432,4.123093976,0.214936853,0,0,0.351111111,0,O=C(C1=CC=CC=C1)/C=C/N(C)C,335.9,CH2Cl2,-1.91645,3.72548
